company,specific_location,REF,review_date,cocoa_percentage,company_location,rating,bean_type,general_location,lon,lat
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,-75.0458515,-6.8699697
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,-75.0458515,-6.8699697
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,179.0122737,-18.1239696
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,179.0122737,-18.1239696
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji,179.0122737,-18.1239696
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji,179.0122737,-18.1239696
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,-79.3666965,-1.3397668
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador,-79.3666965,-1.3397668
Ah Cacao,Tabasco,316,2009,70%,Mexico,3.0,Criollo,Mexico,-100.000037,22.5000485
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,117.8902853,-2.4833826
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,46.4416422,-18.9249604
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,-53.2,-10.3333333
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad,-61.26130538878063,10.443024300000001
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam,108.4265113,13.2904027
Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela,-66.1109318,8.0018709
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5, ,Peru,-75.0458515,-6.8699697
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador,-79.3666965,-1.3397668
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,-85.2936911,12.6090157
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam,108.4265113,13.2904027
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania,35.7878438,-6.5247123
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua,-85.2936911,12.6090157
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.0, ,Peru,-75.0458515,-6.8699697
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5, ,Bolivia,-64.9912286,-17.0568696
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5, ,Peru,-75.0458515,-6.8699697
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador,-79.3666965,-1.3397668
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5, ,Venezuela,-66.1109318,8.0018709
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.0,Trinitario,Dominican Republic,-70.3028026,19.0974031
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia,-64.9912286,-17.0568696
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.0, ,Bolivia,-64.9912286,-17.0568696
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru,-75.0458515,-6.8699697
Amano,Morobe,725,2011,70%,U.S.A.,4.0, ,Papua New Guinea,144.2489081,-5.6816069
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,-70.3028026,19.0974031
Amano,Guayas,470,2010,70%,U.S.A.,4.0, ,Ecuador,-79.3666965,-1.3397668
Amano,Chuao,544,2010,70%,U.S.A.,3.0,Trinitario,Venezuela,-66.1109318,8.0018709
Amano,Montanya,363,2009,70%,U.S.A.,3.0, ,Venezuela,-66.1109318,8.0018709
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia,117.8902853,-2.4833826
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar,46.4416422,-18.9249604
Amano,Cuyagua,147,2007,70%,U.S.A.,3.0, ,Venezuela,-66.1109318,8.0018709
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,-66.1109318,8.0018709
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3.0,Forastero,Ghana,-1.0800271,8.0300284
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador,-79.3666965,-1.3397668
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador,-79.3666965,-1.3397668
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.0,Forastero,Ghana,-1.0800271,8.0300284
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru,-75.0458515,-6.8699697
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru,-75.0458515,-6.8699697
Ambrosia,Belize,1494,2015,64%,Canada,3.0,Trinitario,Belize,-88.7600927,16.8259793
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,46.4416422,-18.9249604
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic,-70.3028026,19.0974031
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea,144.2489081,-5.6816069
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25, ,Venezuela,-66.1109318,8.0018709
Ambrosia,Peru,1498,2015,68%,Canada,3.5, ,Peru,-75.0458515,-6.8699697
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,-75.0458515,-6.8699697
Amedei,Porcelana,111,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela,-66.1109318,8.0018709
Amedei,Nine,111,2007,75%,Italy,4.0,Blend, ,0,0
Amedei,Chuao,111,2007,70%,Italy,5.0,Trinitario,Venezuela,-66.1109318,8.0018709
Amedei,Ecuador,123,2007,70%,Italy,3.0,Trinitario,Ecuador,-79.3666965,-1.3397668
Amedei,Jamaica,123,2007,70%,Italy,3.0,Trinitario,Jamaica,-77.3947693,18.1850507
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada,-61.6904045,12.1360374
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela,-66.1109318,8.0018709
Amedei,Madagascar,123,2007,70%,Italy,4.0,Trinitario (85% Criollo),Madagascar,46.4416422,-18.9249604
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad,-61.26130538878063,10.443024300000001
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, ,0,0
Amedei,Toscano Black,40,2006,70%,Italy,5.0,Blend, ,0,0
Amedei,Toscano Black,75,2006,66%,Italy,4.0,Blend, ,0,0
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil,-53.2,-10.3333333
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil,-53.2,-10.3333333
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,-53.2,-10.3333333
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,-53.2,-10.3333333
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil,-53.2,-10.3333333
Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0, ,Dominican Republic,-70.3028026,19.0974031
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5, ,Bolivia,-64.9912286,-17.0568696
Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico,-100.000037,22.5000485
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador,-79.3666965,-1.3397668
Ara,Trincheras,1379,2014,75%,France,3.0, ,Venezuela,-66.1109318,8.0018709
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad,-61.26130538878063,10.443024300000001
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania,35.7878438,-6.5247123
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam,108.4265113,13.2904027
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador,-79.3666965,-1.3397668
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador,-79.3666965,-1.3397668
Arete,Lachua,1904,2016,70%,U.S.A.,3.5, ,Guatemala,-89.8988087,15.6356088
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,-85.2936911,12.6090157
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5, ,Honduras,-86.0755145,15.2572432
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.0, ,Costa Rica,-84.0739102,10.2735633
Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru,-75.0458515,-6.8699697
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,-70.3028026,19.0974031
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji,179.0122737,-18.1239696
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam,108.4265113,13.2904027
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5, ,Brazil,-53.2,-10.3333333
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru,-75.0458515,-6.8699697
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,-79.3666965,-1.3397668
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic,0,0
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,-88.7600927,16.8259793
Arete,Chuno,1598,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,-85.2936911,12.6090157
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil,-53.2,-10.3333333
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala,-89.8988087,15.6356088
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5, ,Ecuador,-79.3666965,-1.3397668
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad,-61.26130538878063,10.443024300000001
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,-72.9088133,4.099917
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0, ,Haiti,-72.3570972,19.1399952
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama,-81.1308434,8.559559
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75, ,Venezuela,-66.1109318,8.0018709
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,-77.3947693,18.1850507
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica,-84.0739102,10.2735633
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam,108.4265113,13.2904027
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia,117.8902853,-2.4833826
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela,-66.1109318,8.0018709
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,117.8902853,-2.4833826
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil,-53.2,-10.3333333
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar,46.4416422,-18.9249604
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru,-75.0458515,-6.8699697
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,-70.3028026,19.0974031
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,15.6419155,-0.7264327
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,-72.9088133,4.099917
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,35.7878438,-6.5247123
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,35.7878438,-6.5247123
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,-86.0755145,15.2572432
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,122.7312101,12.7503486
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico,-100.000037,22.5000485
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador,-79.3666965,-1.3397668
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , ,0,0
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5, ,Papua New Guinea,144.2489081,-5.6816069
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil,-53.2,-10.3333333
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, ,0,0
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru,-75.0458515,-6.8699697
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru,-75.0458515,-6.8699697
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5, ,Brazil,-53.2,-10.3333333
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Forastero (Nacional),Peru,-75.0458515,-6.8699697
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic,-70.3028026,19.0974031
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5, ,Mexico,-100.000037,22.5000485
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,46.4416422,-18.9249604
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica,-84.0739102,10.2735633
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic,0,0
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,-53.2,-10.3333333
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador,-79.3666965,-1.3397668
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0, ,Malaysia,102.2656823,4.5693754
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia,102.2656823,4.5693754
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil,-53.2,-10.3333333
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic,0,0
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador,-79.3666965,-1.3397668
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75, ,Ecuador,-79.3666965,-1.3397668
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica,-84.0739102,10.2735633
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea,144.2489081,-5.6816069
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru,-75.0458515,-6.8699697
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador,-79.3666965,-1.3397668
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,35.7878438,-6.5247123
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia,-64.9912286,-17.0568696
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5, ,Domincan Republic,0,0
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,-88.7600927,16.8259793
Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize,-88.7600927,16.8259793
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize,-88.7600927,16.8259793
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba,-80.8328748,23.0131338
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,-66.1109318,8.0018709
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,-66.1109318,8.0018709
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador,-79.3666965,-1.3397668
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Trinitario,Indonesia,117.8902853,-2.4833826
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,46.4416422,-18.9249604
Bernachon,Nature,797,2012,55%,France,2.75, , ,0,0
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3.0,Criollo,Venezuela,-66.1109318,8.0018709
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5, ,Venezuela,-66.1109318,8.0018709
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.0, ,Ecuador,-79.3666965,-1.3397668
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela,-66.1109318,8.0018709
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela,-66.1109318,8.0018709
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5, ,Indonesia,117.8902853,-2.4833826
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5, ,Venezuela,-66.1109318,8.0018709
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5, ,Nicaragua,-85.2936911,12.6090157
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5, ,Costa Rica,-84.0739102,10.2735633
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5, ,Costa Rica,-84.0739102,10.2735633
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize,-88.7600927,16.8259793
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana,-1.0800271,8.0300284
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25, ,Indonesia,117.8902853,-2.4833826
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali",0,0
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75, ,Indonesia,117.8902853,-2.4833826
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3.0,Criollo,Venezuela,-66.1109318,8.0018709
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.0, ,Dominican Republic,-70.3028026,19.0974031
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5, ,Dominican Republic,-70.3028026,19.0974031
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar,46.4416422,-18.9249604
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar,46.4416422,-18.9249604
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Trinitario,Madagascar,46.4416422,-18.9249604
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5, ,Panama,-81.1308434,8.559559
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic,-70.3028026,19.0974031
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.0,Forastero,Ghana,-1.0800271,8.0300284
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic,-70.3028026,19.0974031
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela,-66.1109318,8.0018709
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0, ,Nicaragua,-85.2936911,12.6090157
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica,-77.3947693,18.1850507
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo,15.6419155,-0.7264327
Blanxart,Organic Dark,322,2009,72%,Spain,2.75, , ,0,0
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar,46.4416422,-18.9249604
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75, ,Guatemala,-89.8988087,15.6356088
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5, ,Tanzania,35.7878438,-6.5247123
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.0, ,Dominican Republic,-70.3028026,19.0974031
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5, ,Guatemala,-89.8988087,15.6356088
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,46.4416422,-18.9249604
Bonnat,Selva Maya,1912,2016,75%,France,3.5, ,Mexico,-100.000037,22.5000485
Bonnat,Kaori,1339,2014,75%,France,4.0, ,Brazil,-53.2,-10.3333333
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic,-70.3028026,19.0974031
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",0,0
Bonnat,Maragnam,1038,2013,75%,France,3.5, ,Brazil,-53.2,-10.3333333
Bonnat,Gabon,1042,2013,75%,France,3.25, ,Gabon,11.6899699,-0.8999695
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba,-80.8328748,23.0131338
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru,-75.0458515,-6.8699697
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru,-75.0458515,-6.8699697
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil,-53.2,-10.3333333
Bonnat,Haiti,629,2011,75%,France,4.0, ,Haiti,-72.3570972,19.1399952
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4.0,Criollo,Madagascar,46.4416422,-18.9249604
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil,-53.2,-10.3333333
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica,-77.3947693,18.1850507
Bonnat,Ivory Coast,331,2009,75%,France,3.0, ,Ivory Coast,-5.5679458,7.9897371
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru,-75.0458515,-6.8699697
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3.0,Criollo,Mexico,-100.000037,22.5000485
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.0,Criollo,Mexico,-100.000037,22.5000485
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.0,Criollo (Porcelana),Venezuela,-66.1109318,8.0018709
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador,-79.3666965,-1.3397668
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,-123.13069097803378,49.2866851
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4.0, ,Venezuela,-66.1109318,8.0018709
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4.0,Criollo,Venezuela,-66.1109318,8.0018709
Bonnat,Madagascar,75,2006,75%,France,4.0,Trinitario,Madagascar,46.4416422,-18.9249604
Bonnat,One Hundred,81,2006,100%,France,1.5, , ,0,0
Bonnat,Ceylan,81,2006,75%,France,3.0, ,Sri Lanka,80.7137847,7.5554942
Bonnat,Chuao,81,2006,75%,France,4.0,Trinitario,Venezuela,-66.1109318,8.0018709
